time,flux,normalised_flux,yCO2_bl,pressure,tau
151593.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.6835965919959414
151603.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.429,0.6838093919959413
151613.89999980928,0.0001317019276229975,0.9974679448325179,0.0010573244999999998,149.429,0.6840221919959413
151623.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.6842349919959413
151633.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.6844477919959413
151643.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.429,0.6846605919959412
151653.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6848733919959413
151663.89999980928,0.00013159169069389357,0.996633045867085,0.0010564395,149.429,0.6850861919959412
151673.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.207,0.6852989919959414
151683.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,148.985,0.6855117919959413
151693.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,148.985,0.6857245919959413
151703.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,148.985,0.6859373919959413
151713.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.6861501919959413
151723.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.6863629919959412
151733.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6865757919959413
151743.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.6867885919959412
151753.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.6870013919959412
151763.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6872141919959412
151773.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.207,0.6874269919959413
151783.89999980928,0.00013166518197996286,0.9971896451773736,0.0010570294999999999,149.207,0.6876397919959413
151793.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.6878525919959413
151803.9009997368,0.00013151832396932612,0.9960773899454582,0.0010558505,148.985,0.6880654132743989
151813.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.6882781919959413
151823.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.6884909919959412
151833.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6887037919959412
151843.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.6889165919959412
151853.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.429,0.6891293919959413
151863.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.429,0.6893421919959413
151873.89999980928,0.00013126110446808357,0.994129292359448,0.0010537855,149.207,0.6895549919959413
151883.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,148.985,0.6897677919959413
151893.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,148.985,0.6899805919959413
151903.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6901933919959413
151913.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6904061919959412
151923.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6906189919959413
151933.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,148.985,0.6908317919959412
151943.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6910445919959414
151953.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,149.207,0.6912573919959413
151963.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6914701919959413
151973.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6916829919959413
151983.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6918957919959413
151993.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,148.985,0.6921085919959412
152003.89999980928,0.00013126110446808357,0.994129292359448,0.0010537855,149.429,0.6923213919959413
152013.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.429,0.6925341919959412
152023.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.6927469919959413
152033.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6929597919959413
152043.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.429,0.6931725919959413
152053.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.207,0.6933853919959413
